recruitment_id,employee_id,hiring_source,recruiter_name,time_to_hire_days,interview_rounds,hiring_cost,offer_accepted
REC01093,EMP01093,LinkedIn,Meenakshi Iyer,52,1,8026,1
REC01094,EMP01094,Consultancy,Kavya Reddy,13,2,40053,1
REC01095,EMP01095,Naukri,Tanu Kapoor,58,3,13715,1
REC01096,EMP01096,Naukri,Tanu Kapoor,38,5,10055,1
REC01097,EMP01097,Naukri,Tanu Kapoor,39,2,15593,0
REC01098,EMP01098,Consultancy,Pooja Sharma,15,3,67419,1
REC01099,EMP01099,Indeed,Amit Joshi,53,2,6446,1
REC01100,EMP01100,Consultancy,Meenakshi Iyer,7,5,31884,0
REC01101,EMP01101,LinkedIn,Pradeep Nair,44,3,8642,1
REC01102,EMP01102,Indeed,Pooja Sharma,51,4,13420,1
REC01103,EMP01103,Employee Referral,Pooja Sharma,37,2,6620,1
REC01104,EMP01104,Indeed,Amit Joshi,33,5,17328,1
REC01105,EMP01105,Campus Hiring,Meenakshi Iyer,36,3,9142,1
REC01106,EMP01106,LinkedIn,Kavya Reddy,14,3,9596,1
REC01107,EMP01107,Consultancy,Rajan Mehta,23,2,35138,1
REC01108,EMP01108,Indeed,Pooja Sharma,10,5,7840,1
REC01109,EMP01109,Employee Referral,Sunita Arora,60,2,6112,1
REC01110,EMP01110,Indeed,Amit Joshi,37,4,8865,1
REC01111,EMP01111,LinkedIn,Amit Joshi,14,5,16280,1
REC01112,EMP01112,LinkedIn,Sunita Arora,36,3,8270,1
REC01113,EMP01113,Employee Referral,Kavya Reddy,33,1,5374,1
REC01114,EMP01114,Campus Hiring,Pradeep Nair,32,1,8501,1
REC01115,EMP01115,Campus Hiring,Rajan Mehta,38,2,13900,1
REC01116,EMP01116,Consultancy,Rajan Mehta,48,4,38300,1
REC01117,EMP01117,Naukri,Pradeep Nair,47,5,9124,1
REC01118,EMP01118,Indeed,Vikash Gupta,31,1,17726,1
REC01119,EMP01119,Consultancy,Sunita Arora,48,4,55291,1
REC01120,EMP01120,Campus Hiring,Tanu Kapoor,28,1,9607,1
REC01121,EMP01121,Indeed,Suresh Pillai,35,1,6149,1
REC01122,EMP01122,LinkedIn,Vikash Gupta,31,2,12053,1
REC01123,EMP01123,Indeed,Kavya Reddy,11,3,8773,1
REC01124,EMP01124,Naukri,Pradeep Nair,37,4,16727,1
REC01125,EMP01125,Naukri,Meenakshi Iyer,47,2,19582,1
REC01126,EMP01126,Naukri,Rajan Mehta,17,5,9830,1
REC01127,EMP01127,Naukri,Pooja Sharma,33,2,18595,1
REC01128,EMP01128,Consultancy,Pradeep Nair,57,4,45746,1
REC01129,EMP01129,Employee Referral,Sunita Arora,17,1,7975,1
REC01130,EMP01130,Naukri,Rajan Mehta,16,1,11280,0
REC01131,EMP01131,Campus Hiring,Pooja Sharma,15,1,10103,1
REC01132,EMP01132,Employee Referral,Amit Joshi,53,5,5109,0
REC01133,EMP01133,LinkedIn,Pooja Sharma,21,1,8305,1
REC01134,EMP01134,Campus Hiring,Amit Joshi,16,2,7496,1
REC01135,EMP01135,LinkedIn,Pradeep Nair,7,3,13449,1
REC01136,EMP01136,Naukri,Kavya Reddy,13,4,7828,1
REC01137,EMP01137,Campus Hiring,Kavya Reddy,22,5,8706,1
REC01138,EMP01138,Indeed,Tanu Kapoor,30,2,11041,0
REC01139,EMP01139,LinkedIn,Amit Joshi,13,5,13487,0
REC01140,EMP01140,Naukri,Sunita Arora,42,3,7873,1
REC01141,EMP01141,Consultancy,Pradeep Nair,29,2,59207,1
REC01142,EMP01142,Campus Hiring,Pradeep Nair,56,2,11617,1
REC01143,EMP01143,Employee Referral,Amit Joshi,49,2,4147,0
REC01144,EMP01144,Naukri,Rajan Mehta,12,4,14237,1
REC01145,EMP01145,LinkedIn,Pradeep Nair,14,4,14604,1
REC01146,EMP01146,Naukri,Pooja Sharma,50,5,8214,0
REC01147,EMP01147,Campus Hiring,Sunita Arora,14,4,5661,1
REC01148,EMP01148,LinkedIn,Pooja Sharma,55,4,23604,1
REC01149,EMP01149,LinkedIn,Sunita Arora,34,3,14271,1
REC01150,EMP01150,Naukri,Meenakshi Iyer,24,2,16900,0
REC01151,EMP01151,LinkedIn,Pradeep Nair,35,3,15696,1
REC01152,EMP01152,Employee Referral,Sunita Arora,60,5,7147,1
REC01153,EMP01153,LinkedIn,Vikash Gupta,38,1,14017,1
REC01154,EMP01154,LinkedIn,Tanu Kapoor,60,5,10499,1
REC01155,EMP01155,LinkedIn,Meenakshi Iyer,20,5,21568,1
REC01156,EMP01156,LinkedIn,Pooja Sharma,10,1,9746,0
REC01157,EMP01157,Consultancy,Meenakshi Iyer,56,5,46195,1
REC01158,EMP01158,Employee Referral,Sunita Arora,57,2,7887,1
REC01159,EMP01159,Naukri,Tanu Kapoor,34,3,14548,0
REC01160,EMP01160,Employee Referral,Rajan Mehta,39,4,5240,1
REC01161,EMP01161,Employee Referral,Kavya Reddy,49,2,4662,1
REC01162,EMP01162,Indeed,Pooja Sharma,19,2,14853,1
REC01163,EMP01163,Consultancy,Rajan Mehta,46,5,44737,0
REC01164,EMP01164,Campus Hiring,Rajan Mehta,54,4,12715,1
REC01165,EMP01165,Employee Referral,Kavya Reddy,10,3,7745,1
REC01166,EMP01166,Consultancy,Vikash Gupta,51,1,41620,1
REC01167,EMP01167,LinkedIn,Amit Joshi,50,4,13475,0
REC01168,EMP01168,Naukri,Kavya Reddy,15,3,14883,1
REC01169,EMP01169,LinkedIn,Sunita Arora,28,5,20901,1
REC01170,EMP01170,Employee Referral,Rajan Mehta,32,1,3809,0
REC01171,EMP01171,Naukri,Rajan Mehta,9,1,11951,1
REC01172,EMP01172,Consultancy,Amit Joshi,55,2,58427,0
REC01173,EMP01173,LinkedIn,Pooja Sharma,47,5,14280,1
REC01174,EMP01174,Campus Hiring,Pooja Sharma,26,4,11207,1
REC01175,EMP01175,Campus Hiring,Pradeep Nair,60,3,7011,1
REC01176,EMP01176,Campus Hiring,Kavya Reddy,28,5,12240,1
REC01177,EMP01177,Consultancy,Pooja Sharma,57,1,25914,0
REC01178,EMP01178,Employee Referral,Meenakshi Iyer,17,4,5061,1
REC01179,EMP01179,LinkedIn,Kavya Reddy,36,3,15046,1
REC01180,EMP01180,Consultancy,Amit Joshi,57,1,74223,1
REC01181,EMP01181,Consultancy,Pradeep Nair,13,3,49452,1
REC01182,EMP01182,Indeed,Tanu Kapoor,19,2,8028,1
REC01183,EMP01183,Naukri,Pradeep Nair,25,1,12644,1
REC01184,EMP01184,LinkedIn,Pradeep Nair,11,3,21443,0
REC01185,EMP01185,LinkedIn,Suresh Pillai,42,3,11308,1
REC01186,EMP01186,Indeed,Meenakshi Iyer,58,4,15640,1
REC01187,EMP01187,Consultancy,Pradeep Nair,32,4,32835,0
REC01188,EMP01188,Employee Referral,Meenakshi Iyer,11,3,3316,1
REC01189,EMP01189,Naukri,Vikash Gupta,31,5,18957,1
REC01190,EMP01190,Campus Hiring,Pradeep Nair,55,2,11461,1
REC01191,EMP01191,Naukri,Meenakshi Iyer,40,2,16520,1
REC01192,EMP01192,Campus Hiring,Pooja Sharma,34,5,7509,1
REC01193,EMP01193,Naukri,Pradeep Nair,9,5,7150,1
REC01194,EMP01194,Employee Referral,Amit Joshi,18,3,6549,1
REC01195,EMP01195,LinkedIn,Sunita Arora,12,5,8573,1
REC01196,EMP01196,Employee Referral,Pooja Sharma,24,3,7922,1
REC01197,EMP01197,Naukri,Vikash Gupta,16,5,18986,1
REC01198,EMP01198,LinkedIn,Vikash Gupta,54,5,20838,1
REC01199,EMP01199,Employee Referral,Suresh Pillai,26,3,6968,1
REC01200,EMP01200,Naukri,Vikash Gupta,14,2,17461,1
REC01201,EMP01201,Naukri,Rajan Mehta,37,1,14083,1
REC01202,EMP01202,Naukri,Sunita Arora,47,4,10008,0
REC01203,EMP01203,Campus Hiring,Pooja Sharma,52,1,5228,1
REC01204,EMP01204,Indeed,Suresh Pillai,30,1,6524,1
REC01205,EMP01205,Indeed,Tanu Kapoor,43,1,10301,1
REC01206,EMP01206,Campus Hiring,Rajan Mehta,45,3,11841,0
REC01207,EMP01207,Indeed,Kavya Reddy,58,2,13613,1
REC01208,EMP01208,LinkedIn,Tanu Kapoor,36,4,8546,1
REC01209,EMP01209,LinkedIn,Sunita Arora,53,4,15030,1
REC01210,EMP01210,LinkedIn,Meenakshi Iyer,20,4,22054,1
REC01211,EMP01211,Employee Referral,Vikash Gupta,17,1,4132,0
REC01212,EMP01212,Indeed,Amit Joshi,44,4,11938,0
REC01213,EMP01213,LinkedIn,Suresh Pillai,38,4,9370,1
REC01214,EMP01214,Indeed,Meenakshi Iyer,21,3,10909,1
REC01215,EMP01215,Consultancy,Kavya Reddy,34,3,36023,1
REC01216,EMP01216,LinkedIn,Pooja Sharma,56,1,13823,1
REC01217,EMP01217,LinkedIn,Rajan Mehta,21,2,15787,1
REC01218,EMP01218,Indeed,Sunita Arora,34,1,5647,1
REC01219,EMP01219,Consultancy,Rajan Mehta,54,3,60358,1
REC01220,EMP01220,Campus Hiring,Amit Joshi,55,2,14370,1
REC01221,EMP01221,Naukri,Vikash Gupta,39,4,14867,1
REC01222,EMP01222,Naukri,Sunita Arora,18,3,11333,1
REC01223,EMP01223,Naukri,Rajan Mehta,57,3,7039,1
REC01224,EMP01224,LinkedIn,Vikash Gupta,35,1,17781,1
REC01225,EMP01225,Naukri,Rajan Mehta,55,2,8894,1
REC01226,EMP01226,Naukri,Sunita Arora,28,2,14363,1
REC01227,EMP01227,Naukri,Sunita Arora,26,4,12221,1
REC01228,EMP01228,Naukri,Tanu Kapoor,28,4,7408,1
REC01229,EMP01229,Employee Referral,Rajan Mehta,40,5,4233,1
REC01230,EMP01230,Consultancy,Kavya Reddy,45,3,30955,1
REC01231,EMP01231,Indeed,Kavya Reddy,55,3,7188,1
REC01232,EMP01232,LinkedIn,Kavya Reddy,34,1,11289,1
REC01233,EMP01233,Indeed,Tanu Kapoor,59,4,11709,1
REC01234,EMP01234,Employee Referral,Sunita Arora,57,4,5127,1
REC01235,EMP01235,Campus Hiring,Pradeep Nair,20,4,7101,1
REC01236,EMP01236,LinkedIn,Kavya Reddy,22,2,20750,1
REC01237,EMP01237,LinkedIn,Suresh Pillai,28,2,15336,1
REC01238,EMP01238,LinkedIn,Tanu Kapoor,50,5,12233,1
REC01239,EMP01239,Naukri,Vikash Gupta,43,3,17604,1
REC01240,EMP01240,Naukri,Suresh Pillai,10,2,8295,0
REC01241,EMP01241,Employee Referral,Meenakshi Iyer,23,5,7884,1
REC01242,EMP01242,Consultancy,Rajan Mehta,54,2,73558,1
REC01243,EMP01243,LinkedIn,Suresh Pillai,44,4,20638,1
REC01244,EMP01244,Consultancy,Pradeep Nair,54,3,59437,0
REC01245,EMP01245,Naukri,Pooja Sharma,24,2,9736,1
REC01246,EMP01246,Indeed,Amit Joshi,38,1,11518,1
REC01247,EMP01247,LinkedIn,Pradeep Nair,22,2,23924,1
REC01248,EMP01248,Employee Referral,Tanu Kapoor,41,3,9073,1
REC01249,EMP01249,Indeed,Rajan Mehta,32,1,9887,1
REC01250,EMP01250,Indeed,Amit Joshi,52,1,16232,0
REC01251,EMP01251,LinkedIn,Suresh Pillai,9,2,24954,0
REC01252,EMP01252,Campus Hiring,Pooja Sharma,28,3,14838,1
REC01253,EMP01253,Indeed,Kavya Reddy,45,1,5656,1
REC01254,EMP01254,Indeed,Sunita Arora,22,4,9689,1
REC01255,EMP01255,LinkedIn,Amit Joshi,57,5,23172,1
REC01256,EMP01256,Campus Hiring,Tanu Kapoor,29,4,9422,0
REC01257,EMP01257,Naukri,Suresh Pillai,42,4,17331,1
REC01258,EMP01258,Employee Referral,Sunita Arora,30,5,8473,1
REC01259,EMP01259,Naukri,Meenakshi Iyer,52,4,16116,1
REC01260,EMP01260,Consultancy,Pooja Sharma,50,3,67781,1
REC01261,EMP01261,Naukri,Tanu Kapoor,7,5,13073,0
REC01262,EMP01262,Indeed,Pradeep Nair,59,4,9572,1
REC01263,EMP01263,Naukri,Suresh Pillai,33,1,17739,1
REC01264,EMP01264,Employee Referral,Amit Joshi,51,4,5586,1
REC01265,EMP01265,Employee Referral,Sunita Arora,22,5,7788,1
REC01266,EMP01266,Campus Hiring,Meenakshi Iyer,27,4,14041,1
REC01267,EMP01267,Employee Referral,Tanu Kapoor,8,4,4703,1
REC01268,EMP01268,Naukri,Pradeep Nair,21,5,12245,0
REC01269,EMP01269,LinkedIn,Tanu Kapoor,28,4,22297,0
REC01270,EMP01270,Naukri,Meenakshi Iyer,23,3,7166,1
REC01271,EMP01271,Consultancy,Pooja Sharma,58,2,40368,1
REC01272,EMP01272,Employee Referral,Vikash Gupta,43,5,3709,1
REC01273,EMP01273,LinkedIn,Pooja Sharma,15,3,14264,1
REC01274,EMP01274,LinkedIn,Pradeep Nair,50,2,23604,1
REC01275,EMP01275,Consultancy,Kavya Reddy,11,1,46157,0
REC01276,EMP01276,Naukri,Pooja Sharma,12,5,11077,1
REC01277,EMP01277,Employee Referral,Sunita Arora,30,2,4668,1
REC01278,EMP01278,Naukri,Tanu Kapoor,10,1,7984,1
REC01279,EMP01279,Naukri,Pradeep Nair,38,5,16357,1
REC01280,EMP01280,Naukri,Suresh Pillai,33,1,19980,1
REC01281,EMP01281,LinkedIn,Tanu Kapoor,41,3,20348,1
REC01282,EMP01282,Campus Hiring,Amit Joshi,56,1,10115,0
REC01283,EMP01283,Consultancy,Tanu Kapoor,20,4,71910,0
REC01284,EMP01284,LinkedIn,Sunita Arora,23,2,19840,1
REC01285,EMP01285,Employee Referral,Suresh Pillai,28,3,5485,1
REC01286,EMP01286,Employee Referral,Meenakshi Iyer,16,3,7743,1
REC01287,EMP01287,Campus Hiring,Tanu Kapoor,44,2,9559,1
REC01288,EMP01288,Naukri,Suresh Pillai,45,2,17407,0
REC01289,EMP01289,Naukri,Meenakshi Iyer,37,3,12547,0
REC01290,EMP01290,Employee Referral,Sunita Arora,51,4,5590,1
REC01291,EMP01291,LinkedIn,Meenakshi Iyer,18,3,18173,1
REC01292,EMP01292,LinkedIn,Suresh Pillai,29,4,19434,1
REC01293,EMP01293,Naukri,Rajan Mehta,60,3,15736,1
REC01294,EMP01294,LinkedIn,Rajan Mehta,14,2,9141,0
REC01295,EMP01295,Indeed,Amit Joshi,13,3,8448,1
REC01296,EMP01296,Naukri,Vikash Gupta,19,5,10851,1
REC01297,EMP01297,Naukri,Suresh Pillai,35,3,19784,1
REC01298,EMP01298,Indeed,Pradeep Nair,23,4,10797,1
REC01299,EMP01299,Naukri,Kavya Reddy,39,1,8368,1
REC01300,EMP01300,LinkedIn,Sunita Arora,43,1,19206,1
REC01301,EMP01301,LinkedIn,Pooja Sharma,35,1,24094,1
REC01302,EMP01302,Campus Hiring,Vikash Gupta,7,5,8452,1
REC01303,EMP01303,Naukri,Tanu Kapoor,18,5,12707,1
REC01304,EMP01304,Campus Hiring,Vikash Gupta,31,2,14253,1
REC01305,EMP01305,Indeed,Rajan Mehta,18,5,9226,1
REC01306,EMP01306,Naukri,Vikash Gupta,16,2,8114,1
REC01307,EMP01307,LinkedIn,Tanu Kapoor,45,4,8351,1
REC01308,EMP01308,Consultancy,Amit Joshi,24,5,32409,1
REC01309,EMP01309,Consultancy,Meenakshi Iyer,56,4,77209,0
REC01310,EMP01310,Naukri,Vikash Gupta,19,5,16648,1
REC01311,EMP01311,Consultancy,Suresh Pillai,14,3,46707,1
REC01312,EMP01312,Indeed,Kavya Reddy,60,3,9502,0
REC01313,EMP01313,Employee Referral,Pradeep Nair,54,2,6766,1
REC01314,EMP01314,Indeed,Rajan Mehta,34,3,6803,1
REC01315,EMP01315,Naukri,Pooja Sharma,38,2,9696,1
REC01316,EMP01316,LinkedIn,Kavya Reddy,9,3,8018,1
REC01317,EMP01317,Naukri,Suresh Pillai,22,3,11643,1
REC01318,EMP01318,Indeed,Pradeep Nair,24,5,13408,1
REC01319,EMP01319,Campus Hiring,Pradeep Nair,13,5,9260,1
REC01320,EMP01320,LinkedIn,Pooja Sharma,54,1,16712,1
REC01321,EMP01321,LinkedIn,Kavya Reddy,58,1,18859,1
REC01322,EMP01322,Consultancy,Pooja Sharma,43,1,64681,1
REC01323,EMP01323,Consultancy,Tanu Kapoor,24,3,64773,1
REC01324,EMP01324,LinkedIn,Meenakshi Iyer,7,2,23435,1
REC01325,EMP01325,Naukri,Rajan Mehta,13,1,15473,1
REC01326,EMP01326,Employee Referral,Pradeep Nair,16,2,6693,1
REC01327,EMP01327,Indeed,Suresh Pillai,23,4,6129,0
REC01328,EMP01328,LinkedIn,Tanu Kapoor,15,5,10216,1
REC01329,EMP01329,Campus Hiring,Amit Joshi,28,4,6518,1
REC01330,EMP01330,Indeed,Amit Joshi,9,2,5319,1
REC01331,EMP01331,LinkedIn,Rajan Mehta,43,5,23997,1
REC01332,EMP01332,Indeed,Rajan Mehta,30,3,12946,1
REC01333,EMP01333,Naukri,Pradeep Nair,57,4,10312,1
REC01334,EMP01334,Indeed,Rajan Mehta,50,4,15104,1
REC01335,EMP01335,Naukri,Rajan Mehta,44,5,13363,0
REC01336,EMP01336,Consultancy,Vikash Gupta,9,5,75831,1
REC01337,EMP01337,Naukri,Pradeep Nair,59,5,13644,1
REC01338,EMP01338,Consultancy,Meenakshi Iyer,60,4,59814,1
REC01339,EMP01339,Naukri,Sunita Arora,57,3,9983,1
REC01340,EMP01340,Naukri,Sunita Arora,33,4,16547,1
REC01341,EMP01341,LinkedIn,Meenakshi Iyer,36,5,11548,1
REC01342,EMP01342,Naukri,Pradeep Nair,49,1,12724,1
REC01343,EMP01343,Naukri,Kavya Reddy,50,5,18846,1
REC01344,EMP01344,LinkedIn,Tanu Kapoor,8,4,23349,1
REC01345,EMP01345,Indeed,Suresh Pillai,57,5,9619,1
REC01346,EMP01346,Campus Hiring,Tanu Kapoor,51,5,5877,1
REC01347,EMP01347,Consultancy,Kavya Reddy,32,3,53123,1
REC01348,EMP01348,Employee Referral,Sunita Arora,36,3,5325,1
REC01349,EMP01349,Consultancy,Pooja Sharma,13,3,36307,1
REC01350,EMP01350,Employee Referral,Suresh Pillai,40,5,5813,1
REC01351,EMP01351,Consultancy,Meenakshi Iyer,20,5,69657,1
REC01352,EMP01352,LinkedIn,Pradeep Nair,42,1,15230,0
REC01353,EMP01353,Naukri,Pradeep Nair,30,3,11786,1
REC01354,EMP01354,LinkedIn,Tanu Kapoor,57,3,16636,1
REC01355,EMP01355,Campus Hiring,Amit Joshi,50,5,5349,0
REC01356,EMP01356,Employee Referral,Vikash Gupta,53,5,4172,0
REC01357,EMP01357,LinkedIn,Rajan Mehta,33,1,11940,0
REC01358,EMP01358,Employee Referral,Rajan Mehta,50,4,9468,1
REC01359,EMP01359,LinkedIn,Suresh Pillai,49,3,10853,1
REC01360,EMP01360,Campus Hiring,Suresh Pillai,42,3,8568,0
REC01361,EMP01361,Employee Referral,Pradeep Nair,13,1,5465,1
REC01362,EMP01362,Employee Referral,Sunita Arora,59,2,5302,1
REC01363,EMP01363,Campus Hiring,Amit Joshi,55,4,9172,1
REC01364,EMP01364,Indeed,Sunita Arora,26,1,11852,1
REC01365,EMP01365,LinkedIn,Rajan Mehta,13,1,20839,1
REC01366,EMP01366,Consultancy,Suresh Pillai,50,1,33438,1
REC01367,EMP01367,Campus Hiring,Sunita Arora,46,2,9211,0
REC01368,EMP01368,Employee Referral,Kavya Reddy,33,2,9966,1
REC01369,EMP01369,Employee Referral,Pradeep Nair,43,2,9046,1
REC01370,EMP01370,LinkedIn,Pradeep Nair,27,2,16024,1
REC01371,EMP01371,Naukri,Rajan Mehta,10,1,15214,1
REC01372,EMP01372,Employee Referral,Tanu Kapoor,8,4,6074,1
REC01373,EMP01373,LinkedIn,Suresh Pillai,22,4,9906,1
REC01374,EMP01374,LinkedIn,Pradeep Nair,60,5,21861,1
REC01375,EMP01375,Employee Referral,Kavya Reddy,36,4,4267,1
REC01376,EMP01376,Campus Hiring,Suresh Pillai,37,3,13981,1
REC01377,EMP01377,Indeed,Tanu Kapoor,40,1,10384,1
REC01378,EMP01378,Naukri,Amit Joshi,57,1,16572,0
REC01379,EMP01379,LinkedIn,Amit Joshi,42,2,22384,1
REC01380,EMP01380,LinkedIn,Pooja Sharma,25,1,24284,1
REC01381,EMP01381,Naukri,Sunita Arora,8,1,6307,1
REC01382,EMP01382,Consultancy,Tanu Kapoor,24,5,58087,1
REC01383,EMP01383,Employee Referral,Pradeep Nair,55,3,8226,1
REC01384,EMP01384,Employee Referral,Rajan Mehta,40,5,9772,1
REC01385,EMP01385,Naukri,Kavya Reddy,43,3,13086,1
REC01386,EMP01386,Naukri,Vikash Gupta,11,1,16928,1
REC01387,EMP01387,Naukri,Suresh Pillai,51,4,12434,1
REC01388,EMP01388,Naukri,Rajan Mehta,49,2,18015,1
REC01389,EMP01389,Indeed,Kavya Reddy,53,1,8516,1
REC01390,EMP01390,Indeed,Suresh Pillai,26,4,11407,1
REC01391,EMP01391,Employee Referral,Kavya Reddy,27,5,8564,1
REC01392,EMP01392,Employee Referral,Kavya Reddy,30,1,5150,1
REC01393,EMP01393,Employee Referral,Kavya Reddy,34,4,9816,1
REC01394,EMP01394,Campus Hiring,Suresh Pillai,55,1,5170,1
REC01395,EMP01395,Indeed,Suresh Pillai,55,3,13059,1
REC01396,EMP01396,LinkedIn,Sunita Arora,28,2,14641,1
REC01397,EMP01397,Campus Hiring,Suresh Pillai,28,2,11496,1
REC01398,EMP01398,Consultancy,Meenakshi Iyer,39,3,57724,1
REC01399,EMP01399,Naukri,Tanu Kapoor,48,2,16470,1
REC01400,EMP01400,Naukri,Pradeep Nair,26,3,7082,1
REC01401,EMP01401,Employee Referral,Suresh Pillai,57,1,5366,1
REC01402,EMP01402,LinkedIn,Sunita Arora,15,1,21870,1
REC01403,EMP01403,Consultancy,Sunita Arora,56,1,62100,1
REC01404,EMP01404,LinkedIn,Sunita Arora,54,2,23262,1
REC01405,EMP01405,Employee Referral,Kavya Reddy,11,1,5231,0
REC01406,EMP01406,Naukri,Vikash Gupta,22,5,9447,1
REC01407,EMP01407,Naukri,Kavya Reddy,53,5,11984,1
REC01408,EMP01408,Naukri,Kavya Reddy,27,3,14672,0
REC01409,EMP01409,LinkedIn,Meenakshi Iyer,24,2,18025,1
REC01410,EMP01410,Employee Referral,Sunita Arora,8,2,5407,1
REC01411,EMP01411,Employee Referral,Kavya Reddy,20,1,6020,1
REC01412,EMP01412,Indeed,Pradeep Nair,35,2,9351,1
REC01413,EMP01413,Employee Referral,Tanu Kapoor,8,2,4057,1
REC01414,EMP01414,Naukri,Vikash Gupta,21,4,6501,1
REC01415,EMP01415,Naukri,Meenakshi Iyer,15,1,14945,1
REC01416,EMP01416,Naukri,Amit Joshi,49,2,13462,1
REC01417,EMP01417,Indeed,Pradeep Nair,43,3,15290,0
REC01418,EMP01418,Campus Hiring,Amit Joshi,17,5,7512,1
REC01419,EMP01419,Indeed,Tanu Kapoor,19,3,17253,0
REC01420,EMP01420,Indeed,Rajan Mehta,11,4,11798,1
REC01421,EMP01421,Indeed,Tanu Kapoor,36,5,7832,1
REC01422,EMP01422,LinkedIn,Suresh Pillai,31,3,15561,1
REC01423,EMP01423,Indeed,Pooja Sharma,13,2,16726,1
REC01424,EMP01424,Indeed,Meenakshi Iyer,17,2,12967,1
REC01425,EMP01425,LinkedIn,Rajan Mehta,32,5,18023,1
REC01426,EMP01426,Campus Hiring,Vikash Gupta,11,3,13713,1
REC01427,EMP01427,LinkedIn,Amit Joshi,58,1,20301,0
REC01428,EMP01428,Naukri,Pooja Sharma,36,3,18092,1
REC01429,EMP01429,Consultancy,Kavya Reddy,22,1,58339,1
REC01430,EMP01430,Indeed,Kavya Reddy,22,5,14221,1
REC01431,EMP01431,Campus Hiring,Pradeep Nair,51,2,10817,1
REC01432,EMP01432,Employee Referral,Pradeep Nair,28,4,6585,0
REC01433,EMP01433,Indeed,Kavya Reddy,28,3,12311,1
REC01434,EMP01434,Naukri,Sunita Arora,42,3,9454,1
REC01435,EMP01435,Employee Referral,Sunita Arora,21,1,8327,1
REC01436,EMP01436,Naukri,Kavya Reddy,9,1,17008,0
REC01437,EMP01437,Employee Referral,Amit Joshi,46,3,6952,1
REC01438,EMP01438,Campus Hiring,Rajan Mehta,47,3,7415,1
REC01439,EMP01439,LinkedIn,Pooja Sharma,38,4,18297,0
REC01440,EMP01440,Naukri,Rajan Mehta,22,1,8344,1
REC01441,EMP01441,Consultancy,Pradeep Nair,19,2,57297,1
REC01442,EMP01442,Naukri,Pradeep Nair,9,2,15772,1
REC01443,EMP01443,Naukri,Pooja Sharma,7,5,7633,1
REC01444,EMP01444,LinkedIn,Suresh Pillai,59,2,14694,1
REC01445,EMP01445,Campus Hiring,Meenakshi Iyer,7,1,12157,1
REC01446,EMP01446,Indeed,Rajan Mehta,26,2,5880,1
REC01447,EMP01447,Indeed,Kavya Reddy,35,4,15961,0
REC01448,EMP01448,Naukri,Kavya Reddy,51,2,9349,0
REC01449,EMP01449,Naukri,Amit Joshi,54,1,15917,1
REC01450,EMP01450,Consultancy,Suresh Pillai,57,1,74389,1
REC01451,EMP01451,Naukri,Tanu Kapoor,30,1,8141,1
REC01452,EMP01452,LinkedIn,Pooja Sharma,60,5,23380,1
REC01453,EMP01453,Campus Hiring,Pradeep Nair,30,3,8806,1
REC01454,EMP01454,LinkedIn,Rajan Mehta,7,1,11162,1
REC01455,EMP01455,Indeed,Pradeep Nair,45,2,17896,1
REC01456,EMP01456,Naukri,Pooja Sharma,29,4,17572,1
REC01457,EMP01457,Indeed,Sunita Arora,55,3,9651,1
REC01458,EMP01458,Naukri,Pooja Sharma,18,3,6627,1
REC01459,EMP01459,Consultancy,Vikash Gupta,56,2,40032,1
REC01460,EMP01460,Consultancy,Sunita Arora,12,3,40962,1
REC01461,EMP01461,Employee Referral,Kavya Reddy,57,2,5263,1
REC01462,EMP01462,Campus Hiring,Tanu Kapoor,60,5,6527,1
REC01463,EMP01463,Employee Referral,Pradeep Nair,20,5,5238,1
REC01464,EMP01464,Naukri,Rajan Mehta,55,2,7712,1
REC01465,EMP01465,Consultancy,Suresh Pillai,12,4,72290,1
REC01466,EMP01466,Consultancy,Kavya Reddy,37,1,69636,1
REC01467,EMP01467,Naukri,Tanu Kapoor,25,2,9661,1
REC01468,EMP01468,Consultancy,Pooja Sharma,25,3,60865,1
REC01469,EMP01469,LinkedIn,Suresh Pillai,11,3,13070,1
REC01470,EMP01470,Campus Hiring,Kavya Reddy,14,1,13532,1
REC01471,EMP01471,LinkedIn,Meenakshi Iyer,38,1,15413,1
REC01472,EMP01472,Naukri,Meenakshi Iyer,29,5,10684,1
REC01473,EMP01473,Consultancy,Meenakshi Iyer,14,2,46373,1
REC01474,EMP01474,Naukri,Amit Joshi,23,2,8914,1
REC01475,EMP01475,Naukri,Amit Joshi,8,3,6014,1
REC01476,EMP01476,Indeed,Kavya Reddy,26,5,14984,1
REC01477,EMP01477,Consultancy,Vikash Gupta,23,3,71809,1
REC01478,EMP01478,Employee Referral,Sunita Arora,51,1,8381,0
REC01479,EMP01479,Naukri,Meenakshi Iyer,8,3,13199,1
REC01480,EMP01480,Campus Hiring,Suresh Pillai,44,2,13207,1
REC01481,EMP01481,LinkedIn,Sunita Arora,28,2,23528,0
REC01482,EMP01482,Naukri,Vikash Gupta,27,1,16943,0
REC01483,EMP01483,Campus Hiring,Tanu Kapoor,38,5,14492,1
REC01484,EMP01484,Employee Referral,Vikash Gupta,13,1,7683,1
REC01485,EMP01485,Indeed,Vikash Gupta,15,4,15521,1
REC01486,EMP01486,Consultancy,Pradeep Nair,46,2,66923,1
REC01487,EMP01487,Campus Hiring,Meenakshi Iyer,60,5,6504,0
